customer_id,signup_date,home_city,segment,age,household_size,income_band,acquisition_channel,propensity_score
C002050,2022-12-07,Chattogram,Renter-to-Owner,28.0,5,Lower-Mid,Organic,0.559
C002051,2024-09-26,Dhaka,End-User,44.0,3,,Organic,0.575
C002052,2022-11-10,Mymensingh,End-User,19.0,3,Mid,Facebook,0.504
C002053,2023-08-10,Rangpur,Business Buyer,36.0,4,Mid,Paid Search,0.56
C002054,2023-08-03,Dhaka,Investor,34.0,2,Mid,Email,0.614
C002055,2022-09-16,Dhaka,End-User,46.0,5,,Facebook,0.439
C002056,2023-06-17,Chattogram,End-User,47.0,2,Lower-Mid,Facebook,0.447
C002057,2022-04-27,Dhaka,Investor,26.0,4,Upper-Mid,Organic,0.837
C002058,2023-11-18,Rangpur,End-User,36.0,3,Low,Facebook,0.435
C002059,2024-03-19,Dhaka,End-User,29.0,4,Mid,Paid Search,0.769
C002060,2024-10-09,Barishal,Investor,31.0,3,,Facebook,0.68
C002061,2022-12-14,Khulna,Renter-to-Owner,40.0,4,Low,Paid Search,0.437
C002062,2022-11-01,Chattogram,End-User,31.0,5,High,Referral,0.833
C002063,2023-08-09,Dhaka,Investor,36.0,3,Upper-Mid,Email,0.71
C002064,2024-01-09,Mymensingh,End-User,43.0,3,Mid,Organic,0.478
C002065,2024-11-23,Rajshahi,Investor,48.0,3,Mid,Paid Search,0.816
C002066,2022-01-27,Chattogram,Renter-to-Owner,37.0,6,Upper-Mid,Referral,0.766
C002067,2022-09-12,Chattogram,End-User,35.0,4,Low,Broker Network,0.355
C002068,2022-10-07,Rangpur,Investor,24.0,5,Mid,Paid Search,0.609
C002069,2022-09-30,Rangpur,End-User,48.0,3,Lower-Mid,Paid Search,0.476
C002070,2023-05-10,Barishal,End-User,38.0,5,,Broker Network,0.548
C002071,2024-07-19,Rajshahi,End-User,35.0,4,Mid,Facebook,0.438
C002072,2022-02-03,Rangpur,Investor,35.0,4,Mid,Paid Search,0.664
C002073,2024-05-19,Dhaka,Investor,37.0,2,Low,Organic,0.603
C002074,2023-10-21,Sylhet,End-User,41.0,2,Lower-Mid,Referral,0.442
C002075,2023-10-18,Chattogram,End-User,42.0,5,Upper-Mid,Paid Search,0.544
C002076,2023-12-25,Rajshahi,End-User,48.0,5,Lower-Mid,Facebook,0.506
C002077,2022-05-04,Mymensingh,End-User,36.0,7,Mid,Broker Network,0.593
C002078,2024-03-07,Mymensingh,End-User,50.0,2,Mid,Facebook,0.521
C002079,2022-09-22,Khulna,End-User,44.0,4,Low,Paid Search,0.405
C002080,2023-07-05,Khulna,Investor,33.0,2,Lower-Mid,Organic,0.625
C002081,2023-12-23,Rangpur,End-User,19.0,3,Lower-Mid,Broker Network,0.519
C002082,2023-10-06,Mymensingh,End-User,35.0,3,Upper-Mid,Email,0.674
C002083,2022-12-11,Barishal,End-User,48.0,4,Low,Marketplace,0.278
C002084,2023-02-27,Dhaka,End-User,27.0,3,Lower-Mid,Broker Network,0.538
C002085,2023-05-23,Chattogram,End-User,35.0,4,High,Referral,0.799
C002086,2022-02-13,Rangpur,End-User,35.0,5,Upper-Mid,Email,0.661
C002087,2024-02-13,Barishal,Investor,42.0,5,Mid,Paid Search,0.873
C002088,2022-04-17,Sylhet,End-User,31.0,5,Mid,Email,0.57
C002089,2023-05-04,Rajshahi,End-User,26.0,4,Upper-Mid,Facebook,0.526
C002090,2023-11-30,Chattogram,Investor,39.0,4,High,Facebook,0.89
C002091,2022-03-27,Chattogram,End-User,27.0,3,Upper-Mid,Organic,0.681
C002092,2024-11-27,Barishal,Renter-to-Owner,18.0,4,Mid,Facebook,0.501
C002093,2023-02-07,Dhaka,Business Buyer,51.0,2,Mid,Paid Search,0.508
C002094,2022-01-17,Sylhet,End-User,42.0,4,Mid,Paid Search,0.535
C002095,2023-12-04,Sylhet,End-User,51.0,2,Upper-Mid,Facebook,0.675
C002096,2023-08-18,Rangpur,End-User,42.0,4,Mid,Email,0.636
C002097,2023-11-14,Chattogram,Renter-to-Owner,40.0,2,Low,Email,0.483
C002098,2024-03-11,Sylhet,End-User,37.0,3,Mid,Paid Search,0.666
C002099,2023-05-23,Dhaka,End-User,32.0,3,Lower-Mid,Broker Network,0.504
C002100,2024-05-31,Dhaka,Renter-to-Owner,,3,Low,Facebook,0.404
C002101,2023-01-30,Chattogram,Investor,29.0,4,Low,Paid Search,0.586
C002102,2023-08-05,Dhaka,End-User,,1,Lower-Mid,Marketplace,0.381
C002103,2022-06-18,Mymensingh,End-User,31.0,1,Mid,Organic,0.499
C002104,2023-10-23,Rangpur,End-User,46.0,5,Lower-Mid,Broker Network,0.412
C002105,2022-10-06,Dhaka,Renter-to-Owner,23.0,4,Mid,Organic,0.632
C002106,2024-01-13,Rangpur,End-User,23.0,3,High,Email,0.789
C002107,2024-05-03,Khulna,End-User,39.0,5,Low,Broker Network,0.294
C002108,2024-07-04,Sylhet,End-User,30.0,3,Low,Facebook,0.272
C002109,2024-09-17,Rangpur,Investor,38.0,3,Lower-Mid,Organic,0.774
C002110,2022-05-11,Khulna,Renter-to-Owner,43.0,3,Upper-Mid,Organic,0.721
C002111,2022-05-28,Dhaka,Renter-to-Owner,38.0,6,,Organic,0.564
C002112,2024-09-14,Dhaka,Business Buyer,28.0,4,Low,Broker Network,0.51
C002113,2023-02-10,Khulna,Renter-to-Owner,46.0,4,Low,Referral,0.675
C002114,2022-01-28,Mymensingh,End-User,41.0,4,Low,Organic,0.475
C002115,2022-11-02,Khulna,End-User,34.0,1,Mid,Paid Search,0.56
C002116,2024-06-10,Chattogram,End-User,34.0,3,Mid,Paid Search,0.556
C002117,2023-01-14,Dhaka,Investor,37.0,4,Lower-Mid,Referral,0.763
C002118,2022-03-23,Mymensingh,End-User,31.0,4,Lower-Mid,Paid Search,0.598
C002119,2024-02-09,Chattogram,End-User,19.0,7,Mid,Broker Network,0.55
C002120,2022-07-27,Sylhet,Investor,41.0,3,High,Referral,0.95
C002121,2023-01-12,Sylhet,Renter-to-Owner,40.0,5,Mid,Paid Search,0.612
C002122,2022-01-05,Dhaka,Investor,18.0,5,Upper-Mid,Paid Search,0.892
C002123,2023-10-04,Dhaka,End-User,39.0,4,High,Facebook,0.816
C002124,2023-04-20,Chattogram,Renter-to-Owner,50.0,4,Lower-Mid,Marketplace,0.463
C002125,2024-07-13,Chattogram,End-User,24.0,3,Low,Organic,0.466
C002126,2022-12-23,Sylhet,Investor,33.0,1,Mid,Paid Search,0.754
C002127,2022-08-07,Barishal,End-User,32.0,4,Low,Facebook,0.239
C002128,2022-06-26,Dhaka,Renter-to-Owner,49.0,4,Lower-Mid,Paid Search,0.598
C002129,2022-08-02,Khulna,Renter-to-Owner,44.0,4,Mid,Paid Search,0.735
C002130,2023-04-26,Dhaka,End-User,26.0,4,Mid,Facebook,0.586
C002131,2022-04-03,Dhaka,Investor,37.0,5,Lower-Mid,Organic,0.659
C002132,2023-03-05,Barishal,End-User,55.0,3,Mid,Referral,0.511
C002133,2024-06-30,Barishal,End-User,28.0,6,Lower-Mid,Email,0.521
C002134,2024-03-29,Barishal,Renter-to-Owner,34.0,2,Low,Marketplace,0.344
C002135,2023-11-11,Dhaka,End-User,39.0,4,Lower-Mid,Facebook,0.352
C002136,2024-08-10,Khulna,Renter-to-Owner,29.0,5,Low,Paid Search,0.457
C002137,2024-04-11,Chattogram,Business Buyer,50.0,3,High,Paid Search,0.889
C002138,2023-11-27,Mymensingh,End-User,30.0,5,Lower-Mid,Paid Search,0.423
C002139,2024-07-09,Rajshahi,Business Buyer,21.0,3,Upper-Mid,Facebook,0.713
C002140,2022-05-13,Mymensingh,End-User,29.0,4,High,Organic,0.751
C002141,2024-05-22,Dhaka,End-User,,3,Lower-Mid,Paid Search,0.377
C002142,2022-11-11,Chattogram,Renter-to-Owner,27.0,3,Lower-Mid,Organic,0.55
C002143,2024-02-21,Barishal,End-User,37.0,7,Upper-Mid,Organic,0.551
C002144,2024-08-31,Chattogram,Business Buyer,39.0,3,Low,Referral,0.639
C002145,2023-06-13,Rajshahi,End-User,23.0,1,Mid,Marketplace,0.753
C002146,2022-04-05,Khulna,End-User,29.0,3,Lower-Mid,Referral,0.535
C002147,2023-01-30,Mymensingh,Renter-to-Owner,37.0,4,Mid,Paid Search,0.705
C002148,2023-03-10,Dhaka,Investor,40.0,3,Upper-Mid,Facebook,0.779
C002149,2024-09-25,Mymensingh,End-User,29.0,5,Mid,Referral,0.512
C002150,2024-10-01,Chattogram,End-User,35.0,5,Lower-Mid,Email,0.65
C002151,2023-08-29,Chattogram,Investor,31.0,3,Mid,Broker Network,0.712
C002152,2024-10-10,Khulna,Investor,,2,Mid,Organic,0.876
C002153,2023-04-11,Dhaka,Renter-to-Owner,39.0,2,Mid,Referral,0.707
C002154,2023-03-15,Mymensingh,Investor,31.0,4,Upper-Mid,Organic,0.95
C002155,2024-06-10,Mymensingh,Renter-to-Owner,38.0,2,Lower-Mid,Paid Search,0.515
C002156,2023-12-13,Mymensingh,Renter-to-Owner,30.0,3,Lower-Mid,Marketplace,0.417
C002157,2023-07-11,Mymensingh,End-User,38.0,6,Low,Email,0.337
C002158,2023-05-02,Rajshahi,End-User,38.0,4,Mid,Paid Search,0.728
C002159,2024-01-23,Chattogram,Investor,55.0,4,Upper-Mid,Broker Network,0.886
C002160,2024-03-14,Rangpur,Renter-to-Owner,31.0,2,Lower-Mid,Paid Search,0.694
C002161,2023-06-07,Dhaka,Investor,33.0,4,Lower-Mid,Organic,0.681
C002162,2022-02-03,Rangpur,End-User,28.0,3,High,Email,0.777
C002163,2022-04-19,Khulna,Business Buyer,25.0,4,Low,Email,0.417
C002164,2022-06-03,Sylhet,End-User,30.0,5,Upper-Mid,Paid Search,0.622
C002165,2023-05-08,Chattogram,End-User,40.0,5,High,Broker Network,0.918
C002166,2023-10-17,Chattogram,Business Buyer,41.0,4,Upper-Mid,Organic,0.747
C002167,2024-05-06,Dhaka,Investor,37.0,4,Lower-Mid,Facebook,0.575
C002168,2022-09-05,Chattogram,Investor,31.0,3,Mid,Marketplace,0.796
C002169,2024-04-18,Chattogram,End-User,30.0,5,Lower-Mid,Broker Network,0.499
C002170,2023-12-12,Dhaka,Renter-to-Owner,26.0,3,Low,Facebook,0.572
C002171,2022-02-25,Dhaka,Renter-to-Owner,29.0,3,Low,Paid Search,0.421
C002172,2023-01-10,Rajshahi,Renter-to-Owner,22.0,5,,Broker Network,0.486
C002173,2022-11-19,Chattogram,Business Buyer,46.0,3,High,Marketplace,0.845
C002174,2024-08-03,Rangpur,Investor,51.0,2,Mid,Organic,0.714
C002175,2024-09-08,Dhaka,End-User,18.0,3,Lower-Mid,Organic,0.406
C002176,2024-05-23,Khulna,Investor,37.0,6,Mid,Paid Search,0.629
C002177,2023-07-17,Dhaka,Business Buyer,36.0,1,Mid,Facebook,0.385
C002178,2023-06-10,Khulna,Business Buyer,36.0,4,Low,Paid Search,0.493
C002179,2022-11-29,Khulna,End-User,29.0,3,Lower-Mid,Referral,0.426
C002180,2024-04-03,Rajshahi,Renter-to-Owner,43.0,3,Mid,Paid Search,0.567
C002181,2022-04-02,Chattogram,End-User,38.0,3,Upper-Mid,Marketplace,0.692
C002182,2022-10-17,Khulna,Investor,43.0,5,Low,Paid Search,0.494
C002183,2022-05-25,Dhaka,End-User,27.0,4,Upper-Mid,Broker Network,0.715
C002184,2023-06-11,Chattogram,Business Buyer,22.0,5,Mid,Marketplace,0.534
C002185,2022-11-16,Chattogram,End-User,38.0,5,Mid,Facebook,0.465
C002186,2022-07-30,Rajshahi,Investor,25.0,4,Low,Organic,0.769
C002187,2023-02-06,Chattogram,Business Buyer,43.0,3,Mid,Email,0.656
C002188,2024-07-06,Barishal,End-User,18.0,4,Lower-Mid,Facebook,0.533
C002189,2023-08-18,Chattogram,End-User,30.0,4,Low,Facebook,0.538
C002190,2024-05-27,Dhaka,Renter-to-Owner,28.0,2,Upper-Mid,Organic,0.716
C002191,2024-09-01,Dhaka,End-User,31.0,4,Lower-Mid,Paid Search,0.397
C002192,2024-08-19,Dhaka,End-User,36.0,3,Low,Facebook,0.177
C002193,2023-01-10,Khulna,Investor,38.0,3,,Referral,0.753
C002194,2024-07-24,Rangpur,Renter-to-Owner,40.0,3,Low,Marketplace,0.46
C002195,2024-08-27,Barishal,End-User,41.0,3,Upper-Mid,Facebook,0.662
C002196,2024-10-19,Chattogram,End-User,32.0,5,Lower-Mid,Paid Search,0.561
C002197,2023-01-10,Dhaka,Renter-to-Owner,53.0,3,Mid,Facebook,0.508
C002198,2022-09-01,Rangpur,Investor,46.0,5,Mid,Organic,0.95
C002199,2023-09-15,Dhaka,Renter-to-Owner,31.0,4,Low,Organic,0.477
C002200,2024-09-20,Chattogram,Renter-to-Owner,33.0,2,Lower-Mid,Paid Search,0.549
C002201,2024-08-18,Rangpur,Business Buyer,31.0,4,Mid,Organic,0.725
C002202,2023-09-01,Chattogram,End-User,37.0,2,Upper-Mid,Organic,0.618
C002203,2022-06-09,Dhaka,End-User,25.0,4,Mid,Organic,0.504
C002204,2023-03-27,Dhaka,End-User,27.0,3,Low,Organic,0.447
C002205,2024-02-01,Rajshahi,Business Buyer,18.0,5,Lower-Mid,Email,0.523
C002206,2023-08-21,Dhaka,Business Buyer,30.0,6,Lower-Mid,Paid Search,0.562
C002207,2023-01-04,Rajshahi,End-User,44.0,1,Lower-Mid,Marketplace,0.407
C002208,2023-01-01,Chattogram,End-User,33.0,3,High,Email,0.691
C002209,2022-03-05,Chattogram,Investor,33.0,2,Low,Email,0.446
C002210,2022-11-04,Dhaka,End-User,37.0,7,Lower-Mid,Organic,0.257
C002211,2023-12-15,Rangpur,Renter-to-Owner,25.0,3,Mid,Paid Search,0.677
C002212,2022-09-15,Chattogram,Renter-to-Owner,34.0,2,Low,Facebook,0.51
C002213,2024-11-24,Sylhet,End-User,42.0,7,Mid,Facebook,0.315
C002214,2022-03-29,Chattogram,Business Buyer,37.0,3,Low,Organic,0.593
C002215,2023-09-20,Dhaka,Investor,43.0,2,Upper-Mid,Paid Search,0.837
C002216,2023-06-14,Chattogram,End-User,45.0,2,Lower-Mid,Referral,0.424
C002217,2024-06-07,Khulna,End-User,40.0,4,Mid,Referral,0.692
C002218,2024-08-04,Chattogram,End-User,28.0,4,Mid,Paid Search,0.631
C002219,2023-08-03,Barishal,Renter-to-Owner,31.0,3,Lower-Mid,Paid Search,0.605
C002220,2023-11-03,Mymensingh,End-User,51.0,3,Lower-Mid,Facebook,0.57
C002221,2024-01-16,Barishal,Investor,37.0,4,Mid,Referral,0.9
C002222,2023-07-10,Rajshahi,Investor,36.0,5,Upper-Mid,Broker Network,0.793
C002223,2022-07-17,Khulna,End-User,,4,Lower-Mid,Broker Network,0.491
C002224,2023-04-02,Rajshahi,End-User,33.0,3,Mid,Facebook,0.551
C002225,2022-09-15,Dhaka,End-User,40.0,3,Mid,Paid Search,0.662
C002226,2023-05-11,Barishal,End-User,34.0,5,Lower-Mid,Paid Search,0.43
C002227,2023-10-18,Rangpur,Investor,29.0,6,Mid,Organic,0.749
C002228,2022-08-12,Dhaka,Renter-to-Owner,31.0,2,,Facebook,0.288
C002229,2022-09-23,Rangpur,End-User,45.0,5,Mid,Email,0.63
C002230,2024-05-27,Rangpur,End-User,40.0,3,Upper-Mid,Referral,0.717
C002231,2023-02-07,Chattogram,End-User,39.0,2,Mid,Facebook,0.451
C002232,2022-07-31,Rangpur,End-User,38.0,1,Mid,Paid Search,0.602
C002233,2024-01-31,Dhaka,End-User,23.0,5,Mid,Facebook,0.493
C002234,2024-02-03,Dhaka,Investor,36.0,6,Lower-Mid,Organic,0.604
C002235,2024-05-30,Chattogram,Renter-to-Owner,44.0,3,Lower-Mid,Paid Search,0.626
C002236,2024-03-21,Khulna,End-User,32.0,3,Low,Facebook,0.185
C002237,2024-11-23,Chattogram,End-User,43.0,1,Low,Organic,0.442
C002238,2023-09-05,Mymensingh,Business Buyer,39.0,5,Low,Paid Search,0.491
C002239,2022-11-02,Dhaka,End-User,41.0,4,Mid,Organic,0.469
C002240,2024-07-08,Dhaka,End-User,34.0,2,Lower-Mid,Organic,0.536
C002241,2022-10-10,Rajshahi,End-User,42.0,4,,Paid Search,0.565
C002242,2022-11-07,Dhaka,End-User,21.0,2,Low,Referral,0.585
C002243,2024-06-02,Sylhet,Investor,34.0,4,Lower-Mid,Paid Search,0.73
C002244,2024-07-28,Chattogram,Renter-to-Owner,40.0,2,Mid,Organic,0.688
C002245,2022-12-28,Mymensingh,End-User,37.0,4,Low,Paid Search,0.171
C002246,2024-02-17,Sylhet,Renter-to-Owner,44.0,3,,Paid Search,0.566
C002247,2024-09-10,Dhaka,Business Buyer,33.0,1,Low,Broker Network,0.489
C002248,2024-05-01,Dhaka,Investor,29.0,5,Low,Email,0.687
C002249,2022-01-06,Dhaka,End-User,19.0,5,Mid,Referral,0.634
C002250,2023-12-10,Mymensingh,Investor,32.0,3,Mid,Referral,0.845
C002251,2022-07-01,Sylhet,End-User,39.0,4,Lower-Mid,Broker Network,0.571
C002252,2024-06-21,Chattogram,Renter-to-Owner,41.0,4,Lower-Mid,Paid Search,0.65
C002253,2022-03-13,Dhaka,Investor,21.0,4,Lower-Mid,Referral,0.847
C002254,2024-11-24,Rangpur,Business Buyer,45.0,6,Low,Facebook,0.524
C002255,2022-07-09,Dhaka,End-User,25.0,4,High,Facebook,0.658
C002256,2023-03-24,Sylhet,End-User,33.0,3,Mid,Broker Network,0.615
C002257,2022-09-07,Barishal,Investor,29.0,4,Low,Broker Network,0.607
C002258,2024-05-17,Dhaka,End-User,38.0,3,Lower-Mid,Facebook,0.493
C002259,2023-02-24,Khulna,End-User,35.0,2,Low,Marketplace,0.315
C002260,2024-03-04,Dhaka,End-User,40.0,5,Lower-Mid,Facebook,0.502
C002261,2022-03-13,Chattogram,End-User,51.0,4,Upper-Mid,Facebook,0.604
C002262,2023-04-28,Mymensingh,Investor,38.0,1,Low,Facebook,0.581
C002263,2024-08-29,Sylhet,Business Buyer,29.0,3,Upper-Mid,Broker Network,0.694
C002264,2024-09-15,Rangpur,End-User,38.0,5,Upper-Mid,Marketplace,0.588
C002265,2022-08-11,Khulna,End-User,52.0,2,Mid,Referral,0.656
C002266,2023-02-25,Dhaka,Renter-to-Owner,40.0,3,Mid,Paid Search,0.595
C002267,2023-03-13,Sylhet,Renter-to-Owner,43.0,7,Lower-Mid,Facebook,0.312
C002268,2023-08-26,Khulna,Renter-to-Owner,20.0,3,Upper-Mid,Paid Search,0.591
C002269,2023-07-27,Dhaka,Business Buyer,37.0,5,Upper-Mid,Referral,0.857
C002270,2022-04-23,Chattogram,End-User,32.0,6,Mid,Marketplace,0.65
C002271,2024-03-24,Rajshahi,End-User,28.0,3,Low,Email,0.371
C002272,2022-08-29,Sylhet,End-User,,4,Low,Facebook,0.311
C002273,2022-12-02,Dhaka,Investor,35.0,6,Low,Paid Search,0.654
C002274,2024-06-15,Rangpur,Renter-to-Owner,28.0,4,Low,Facebook,0.421
C002275,2024-01-06,Chattogram,Investor,36.0,7,Mid,Paid Search,0.799
C002276,2023-02-27,Dhaka,Business Buyer,32.0,3,Upper-Mid,Marketplace,0.716
C002277,2024-08-30,Dhaka,Renter-to-Owner,40.0,6,,Organic,0.638
C002278,2023-02-25,Barishal,End-User,36.0,4,Mid,Broker Network,0.646
C002279,2023-08-26,Chattogram,End-User,37.0,3,Mid,Facebook,0.574
C002280,2022-09-20,Khulna,Business Buyer,43.0,5,Mid,Referral,0.724
C002281,2022-07-15,Dhaka,Renter-to-Owner,39.0,4,Lower-Mid,Marketplace,0.42
C002282,2023-06-09,Sylhet,Renter-to-Owner,34.0,4,Upper-Mid,Facebook,0.536
C002283,2023-08-24,Barishal,Renter-to-Owner,18.0,4,Lower-Mid,Referral,0.477
C002284,2024-05-09,Chattogram,Investor,39.0,1,Upper-Mid,Organic,0.829
C002285,2023-02-21,Mymensingh,Investor,26.0,3,Low,Organic,0.655
C002286,2024-08-12,Dhaka,End-User,33.0,5,Mid,Facebook,0.387
C002287,2023-10-10,Dhaka,End-User,37.0,5,Mid,Paid Search,0.412
C002288,2022-03-16,Rajshahi,End-User,46.0,4,Lower-Mid,Referral,0.56
C002289,2024-02-27,Sylhet,End-User,51.0,4,,Paid Search,0.575
C002290,2023-09-05,Dhaka,Business Buyer,26.0,4,Low,Organic,0.647
C002291,2023-02-20,Khulna,Investor,22.0,5,Mid,Broker Network,0.633
C002292,2023-05-14,Chattogram,Renter-to-Owner,37.0,2,Lower-Mid,Email,0.571
C002293,2022-11-18,Khulna,End-User,36.0,3,Lower-Mid,Marketplace,0.516
C002294,2023-10-17,Rajshahi,End-User,23.0,4,Upper-Mid,Organic,0.64
C002295,2023-08-28,Mymensingh,Investor,34.0,4,Mid,Paid Search,0.721
C002296,2023-04-22,Chattogram,Renter-to-Owner,39.0,1,Upper-Mid,Paid Search,0.717
C002297,2022-11-01,Rajshahi,Renter-to-Owner,23.0,2,Low,Marketplace,0.469
C002298,2023-03-01,Khulna,End-User,25.0,4,Lower-Mid,Facebook,0.46
C002299,2023-06-15,Chattogram,End-User,28.0,5,Lower-Mid,Marketplace,0.498
C002300,2023-05-19,Dhaka,End-User,32.0,3,Upper-Mid,Email,0.657
C002301,2022-11-26,Mymensingh,End-User,40.0,3,Upper-Mid,Paid Search,0.57
C002302,2023-09-13,Dhaka,End-User,31.0,4,Upper-Mid,Facebook,0.564
C002303,2022-08-30,Barishal,End-User,34.0,3,Mid,Facebook,0.458
C002304,2023-06-19,Dhaka,Renter-to-Owner,54.0,5,Lower-Mid,Facebook,0.463
C002305,2022-05-10,Barishal,Renter-to-Owner,25.0,3,Lower-Mid,Marketplace,0.555
C002306,2023-05-19,Dhaka,Investor,28.0,2,Mid,Organic,0.738
C002307,2024-04-15,Mymensingh,Renter-to-Owner,40.0,6,Low,Broker Network,0.566
C002308,2024-05-21,Sylhet,End-User,43.0,5,Mid,Paid Search,0.461
C002309,2024-01-11,Dhaka,Business Buyer,38.0,2,Upper-Mid,Broker Network,0.806
C002310,2024-03-05,Sylhet,End-User,50.0,4,Lower-Mid,Organic,0.577
C002311,2022-03-12,Rajshahi,Investor,37.0,3,Mid,Facebook,0.756
C002312,2022-12-30,Chattogram,Renter-to-Owner,18.0,5,Mid,Referral,0.542
C002313,2023-11-29,Dhaka,Investor,35.0,3,Low,Facebook,0.561
C002314,2024-05-03,Sylhet,Renter-to-Owner,29.0,5,Lower-Mid,Marketplace,0.451
C002315,2023-09-14,Sylhet,Business Buyer,46.0,5,Mid,Broker Network,0.604
C002316,2024-06-28,Chattogram,End-User,43.0,2,,Organic,0.618
C002317,2022-10-19,Rangpur,End-User,20.0,4,Lower-Mid,Paid Search,0.35
C002318,2022-06-13,Dhaka,End-User,46.0,5,Low,Paid Search,0.39
C002319,2022-04-03,Dhaka,End-User,42.0,2,,Paid Search,0.486
C002320,2023-09-14,Rajshahi,Investor,31.0,3,Mid,Organic,0.824
C002321,2023-12-11,Dhaka,Business Buyer,33.0,5,Lower-Mid,Organic,0.621
C002322,2022-11-01,Dhaka,End-User,47.0,3,Mid,Email,0.547
C002323,2024-04-15,Khulna,End-User,18.0,2,Lower-Mid,Marketplace,0.513
C002324,2024-02-27,Dhaka,End-User,38.0,3,Mid,Organic,0.576
C002325,2023-01-19,Dhaka,Business Buyer,44.0,6,Lower-Mid,Broker Network,0.583
C002326,2022-09-12,Sylhet,Business Buyer,33.0,6,Low,Paid Search,0.425
C002327,2024-03-02,Khulna,End-User,40.0,3,Mid,Facebook,0.448
C002328,2023-12-17,Rangpur,End-User,35.0,3,Mid,Organic,0.671
C002329,2022-07-02,Rajshahi,Renter-to-Owner,27.0,3,Upper-Mid,Paid Search,0.651
C002330,2022-09-29,Khulna,End-User,27.0,6,High,Facebook,0.724
C002331,2023-06-03,Dhaka,Business Buyer,40.0,5,Lower-Mid,Broker Network,0.671
C002332,2023-06-29,Barishal,Business Buyer,28.0,6,Mid,Facebook,0.574
C002333,2022-06-26,Dhaka,Renter-to-Owner,20.0,5,Mid,Broker Network,0.586
C002334,2024-10-08,Dhaka,Investor,35.0,2,Mid,Organic,0.846
C002335,2023-02-19,Rangpur,Renter-to-Owner,29.0,2,Low,Facebook,0.431
C002336,2023-02-11,Sylhet,Business Buyer,23.0,3,Mid,Organic,0.716
C002337,2022-03-06,Rajshahi,End-User,,3,High,Organic,0.797
C002338,2024-07-22,Dhaka,Renter-to-Owner,41.0,3,Low,Paid Search,0.521
C002339,2022-09-08,Dhaka,End-User,34.0,3,Lower-Mid,Organic,0.507
C002340,2024-11-18,Khulna,Business Buyer,24.0,5,Low,Broker Network,0.494
C002341,2023-06-13,Sylhet,End-User,38.0,4,Lower-Mid,Facebook,0.439
C002342,2024-07-21,Chattogram,Investor,43.0,5,Mid,Referral,0.756
C002343,2022-07-10,Dhaka,End-User,54.0,4,Lower-Mid,Organic,0.521
C002344,2022-06-26,Dhaka,Investor,47.0,3,Lower-Mid,Paid Search,0.65
C002345,2024-05-03,Rajshahi,End-User,25.0,4,Upper-Mid,Facebook,0.535
C002346,2024-05-23,Sylhet,Business Buyer,42.0,2,,Organic,0.608
C002347,2023-08-02,Dhaka,End-User,36.0,1,Mid,Organic,0.574
C002348,2022-02-04,Dhaka,Business Buyer,24.0,5,Upper-Mid,Organic,0.869
C002349,2024-10-03,Dhaka,Investor,37.0,5,Mid,Marketplace,0.66
C002350,2023-02-24,Dhaka,End-User,51.0,4,Lower-Mid,Facebook,0.365
C002351,2024-09-24,Khulna,Business Buyer,45.0,3,Upper-Mid,Organic,0.78
C002352,2024-07-17,Dhaka,End-User,25.0,2,Lower-Mid,Facebook,0.475
C002353,2024-06-26,Rajshahi,Renter-to-Owner,34.0,5,Low,Email,0.518
C002354,2024-01-05,Barishal,Business Buyer,38.0,4,Low,Organic,0.581
C002355,2023-12-19,Mymensingh,End-User,18.0,4,Upper-Mid,Paid Search,0.677
C002356,2023-07-22,Mymensingh,Renter-to-Owner,19.0,4,Low,Marketplace,0.523
C002357,2022-01-27,Dhaka,Investor,35.0,3,Lower-Mid,Email,0.683
C002358,2023-02-18,Dhaka,End-User,36.0,2,Mid,Facebook,0.456
C002359,2024-02-18,Chattogram,End-User,18.0,4,Mid,Organic,0.594
C002360,2024-05-15,Sylhet,Renter-to-Owner,37.0,3,Mid,Organic,0.561
C002361,2023-08-20,Dhaka,End-User,44.0,3,Lower-Mid,Email,0.502
C002362,2024-01-27,Chattogram,End-User,32.0,6,Mid,Referral,0.581
C002363,2022-01-24,Dhaka,Business Buyer,35.0,4,Low,Paid Search,0.509
C002364,2023-05-15,Dhaka,Investor,39.0,1,Lower-Mid,Organic,0.703
C002365,2023-06-26,Sylhet,Business Buyer,38.0,3,Low,Organic,0.529
C002366,2024-08-09,Rajshahi,Investor,19.0,2,Lower-Mid,Broker Network,0.708
C002367,2022-11-28,Khulna,End-User,26.0,4,Low,Referral,0.44
C002368,2022-09-03,Mymensingh,End-User,30.0,2,Mid,Paid Search,0.49
C002369,2023-01-11,Dhaka,End-User,26.0,4,Low,Facebook,0.262
C002370,2022-07-01,Dhaka,End-User,47.0,3,Lower-Mid,Broker Network,0.518
C002371,2023-08-19,Chattogram,Renter-to-Owner,40.0,3,Low,Referral,0.423
C002372,2023-11-17,Rajshahi,Renter-to-Owner,24.0,4,Lower-Mid,Paid Search,0.664
C002373,2024-05-03,Rajshahi,Investor,32.0,4,Upper-Mid,Marketplace,0.913
C002374,2024-11-02,Dhaka,End-User,44.0,4,Lower-Mid,Organic,0.383
C002375,2022-03-20,Mymensingh,Investor,28.0,3,Mid,Facebook,0.77
C002376,2022-09-21,Chattogram,End-User,42.0,4,,Paid Search,0.541
