property_id,city,neighborhood_code,property_type,size_sqm,bedrooms,bathrooms,year_built,location_score,amenities_count,list_price,has_parking,near_transit,near_school
P001103,Rangpur,N152,Apartment,95.0,2,1,2014,0.95,8.0,9418065,False,True,True
P001104,Chattogram,N123,Apartment,55.1,2,2,2023,,7.0,10503296,False,False,True
P001105,Rajshahi,N151,House,150.8,1,1,2011,0.524,4.0,11985863,False,False,False
P001106,Mymensingh,N170,Apartment,121.7,2,2,1985,0.575,2.0,11849798,True,True,False
P001107,Sylhet,N151,Land,207.7,0,0,2025,0.403,8.0,7993922,True,True,False
P001108,Sylhet,N045,Apartment,38.8,5,1,2007,0.56,5.0,6288700,False,True,False
P001109,Mymensingh,N206,Apartment,130.5,3,2,2003,0.367,7.0,6931842,True,False,False
P001110,Dhaka,N170,Commercial,176.3,0,0,2020,0.821,10.0,49137009,False,True,False
P001111,Mymensingh,N062,Land,137.6,0,0,1999,0.655,2.0,6567174,True,False,False
P001112,Dhaka,N015,Apartment,121.1,3,4,2022,0.752,8.0,11268434,True,True,False
P001113,Dhaka,N191,Apartment,108.4,3,1,2015,0.926,8.0,11583802,True,False,False
P001114,Chattogram,N217,Apartment,113.4,1,1,2016,0.664,15.0,10522045,True,False,True
P001115,Rangpur,N075,Apartment,78.9,3,3,2018,0.358,,3921070,False,True,False
P001116,Chattogram,N103,Apartment,117.2,2,2,2005,0.606,2.0,10887517,True,True,False
P001117,Dhaka,N069,Apartment,35.0,3,3,2005,,6.0,9437710,False,False,False
P001118,Dhaka,N211,Apartment,90.5,0,3,2021,0.59,3.0,11092336,False,True,True
P001119,Chattogram,N134,Apartment,120.6,1,3,2009,0.692,11.0,14894272,True,False,False
P001120,Mymensingh,N158,Apartment,136.0,2,1,2012,0.496,12.0,7317943,False,False,False
P001121,Sylhet,N192,Apartment,106.7,3,2,2015,0.485,7.0,7544333,False,True,True
P001122,Khulna,N045,Apartment,128.6,1,2,2020,0.629,,14528320,True,True,True
P001123,Dhaka,N100,Apartment,93.5,2,1,2001,0.887,8.0,18596244,False,True,True
P001124,Mymensingh,N200,Apartment,112.9,3,1,2018,0.529,7.0,8768264,True,True,False
P001125,Dhaka,N095,House,217.5,3,3,2022,0.926,4.0,32341497,False,False,False
P001126,Dhaka,N122,Apartment,35.0,3,1,2018,,9.0,10452104,False,True,False
P001127,Dhaka,N095,House,242.6,3,3,2025,0.645,7.0,25324479,True,False,True
P001128,Chattogram,N197,Commercial,94.2,0,0,2012,0.526,14.0,30635448,True,True,False
P001129,Rangpur,N212,Commercial,297.7,0,0,2002,0.632,8.0,18358781,True,True,True
P001130,Sylhet,N150,Apartment,120.1,2,1,2018,0.626,9.0,7560331,False,False,False
P001131,Chattogram,N046,Commercial,165.1,0,0,2014,0.606,8.0,26134628,False,False,True
P001132,Rajshahi,N166,Land,71.8,0,0,2025,0.458,6.0,5035857,False,False,True
P001133,Sylhet,N205,Apartment,97.0,1,2,2016,0.268,8.0,9448893,True,True,False
P001134,Dhaka,N088,Commercial,203.1,0,0,2021,0.668,7.0,24417006,False,False,True
P001135,Chattogram,N085,Commercial,208.6,0,0,2011,0.665,5.0,29759052,False,True,True
P001136,Dhaka,N120,House,254.5,4,3,2014,0.949,10.0,41248109,True,True,True
P001137,Rangpur,N037,House,120.9,4,3,2024,0.623,5.0,10648048,True,True,False
P001138,Rangpur,N171,Commercial,362.0,0,0,2019,0.792,10.0,25775428,False,False,False
P001139,Rangpur,N149,Apartment,74.3,0,3,2025,0.519,8.0,5777606,True,True,False
P001140,Rajshahi,N130,House,94.4,6,3,2022,0.467,8.0,9908421,True,True,False
P001141,Chattogram,N216,Land,319.7,0,0,2015,0.171,7.0,19234392,False,False,False
P001142,Khulna,N119,Apartment,136.7,2,2,2016,0.568,,11413466,True,False,False
P001143,Rangpur,N211,Apartment,68.9,3,3,2020,0.785,11.0,6183332,False,False,False
P001144,Sylhet,N144,Apartment,122.2,2,3,2025,0.278,8.0,10616955,True,False,True
P001145,Rangpur,N049,Commercial,80.7,0,0,2013,0.604,10.0,15437274,False,True,False
P001146,Dhaka,N134,House,212.9,3,3,2000,0.829,7.0,30119725,True,False,False
P001147,Khulna,N076,Apartment,101.4,3,2,2021,0.427,9.0,7674996,False,False,True
P001148,Barishal,N151,Apartment,101.8,2,3,2023,0.705,13.0,8460482,False,False,True
P001149,Khulna,N128,House,167.9,4,3,2011,0.5,6.0,14253400,False,True,True
P001150,Chattogram,N017,Apartment,94.8,3,3,2025,0.933,10.0,14447173,False,False,True
P001151,Chattogram,N152,Commercial,146.3,0,0,2021,0.478,9.0,23431065,False,False,False
P001152,Dhaka,N117,Apartment,70.2,2,2,2017,0.868,8.0,12777800,False,True,False
P001153,Rangpur,N078,House,207.0,3,3,2010,0.275,8.0,13318523,True,True,False
P001154,Sylhet,N095,Commercial,182.4,0,0,2007,0.761,9.0,27838434,False,True,True
P001155,Rangpur,N088,House,198.0,4,2,2019,0.584,8.0,15950129,True,False,True
P001156,Dhaka,N129,Apartment,106.9,3,1,2017,0.785,9.0,17359558,True,True,True
P001157,Dhaka,N034,House,190.2,3,3,2012,,7.0,20313548,False,True,False
P001158,Khulna,N197,Land,406.3,0,0,2001,0.546,8.0,16672382,False,True,True
P001159,Dhaka,N094,Commercial,276.2,0,0,2019,0.839,11.0,42054572,False,False,True
P001160,Rajshahi,N040,Apartment,95.0,2,2,2020,0.604,10.0,9518173,True,True,False
P001161,Chattogram,N067,Apartment,95.5,4,1,2016,0.554,9.0,7936965,False,False,True
P001162,Dhaka,N048,House,117.4,2,3,2013,0.947,12.0,33870913,False,True,False
P001163,Chattogram,N017,Apartment,102.2,2,2,2006,0.676,7.0,13326471,True,False,True
P001164,Mymensingh,N162,Apartment,117.5,2,1,2020,0.753,5.0,8994960,False,True,True
P001165,Rajshahi,N208,Apartment,108.8,2,1,2025,0.375,8.0,6275386,False,False,False
P001166,Rajshahi,N198,Land,205.5,0,0,2007,0.577,5.0,8115045,True,False,True
P001167,Barishal,N135,Apartment,54.3,1,2,2008,0.487,11.0,7496608,False,False,True
P001168,Rangpur,N016,Apartment,107.8,3,2,2011,0.533,1.0,6494332,True,False,False
P001169,Rajshahi,N173,Commercial,177.4,0,0,2024,0.95,7.0,19914483,False,True,True
P001170,Chattogram,N048,Apartment,86.1,3,3,2025,0.793,3.0,8835705,True,True,True
P001171,Dhaka,N023,Land,412.1,0,0,2014,0.704,7.0,39682678,True,False,False
P001172,Barishal,N121,Apartment,117.5,5,3,2014,0.565,5.0,5772020,True,False,True
P001173,Dhaka,N052,Apartment,124.1,2,2,2014,0.493,8.0,9080471,False,True,True
P001174,Dhaka,N036,Apartment,100.8,3,2,2003,0.538,12.0,9864764,True,True,True
P001175,Mymensingh,N079,Land,355.0,0,0,2001,0.724,7.0,13798308,False,False,False
P001176,Rajshahi,N037,House,180.3,2,4,2017,0.585,10.0,14044322,True,False,False
P001177,Rajshahi,N182,Land,114.7,0,0,2025,0.544,10.0,6773594,False,True,True
P001178,Sylhet,N094,Apartment,75.8,1,2,2025,0.234,10.0,7948954,False,False,True
P001179,Chattogram,N008,Apartment,135.9,2,1,2012,0.634,3.0,14986735,True,False,True
P001180,Rangpur,N165,Apartment,136.0,2,3,2008,0.95,12.0,11506997,False,True,True
P001181,Khulna,N046,Apartment,45.6,3,2,2006,0.72,7.0,6849704,True,True,True
P001182,Khulna,N082,Apartment,81.0,4,1,2025,0.544,9.0,10523720,True,False,False
P001183,Chattogram,N160,Commercial,140.2,0,0,2005,0.698,8.0,27590619,False,False,False
P001184,Mymensingh,N041,House,72.6,2,2,2014,0.513,5.0,9955768,True,False,False
P001185,Khulna,N142,Apartment,90.8,2,2,2022,0.915,5.0,10887414,False,False,False
P001186,Dhaka,N024,Apartment,61.1,1,1,2014,0.868,14.0,14503028,False,True,True
P001187,Rangpur,N065,Apartment,80.7,1,2,2025,0.662,5.0,4868717,True,False,True
P001188,Chattogram,N117,House,179.8,2,3,2003,0.563,7.0,19929775,True,False,True
P001189,Rajshahi,N080,Apartment,133.1,3,3,2008,0.733,13.0,9318133,False,False,True
P001190,Dhaka,N125,Apartment,73.8,2,1,2010,0.79,6.0,11364183,False,True,True
P001191,Dhaka,N008,Commercial,60.0,0,0,2013,,12.0,22895119,False,True,False
P001192,Dhaka,N218,Apartment,106.7,2,3,2022,0.81,9.0,15501432,False,False,True
P001193,Dhaka,N109,Apartment,92.0,1,2,1997,,12.0,15637455,False,False,False
P001194,Rangpur,N046,Apartment,93.9,3,2,2013,0.358,12.0,5372050,False,False,True
P001195,Mymensingh,N133,Apartment,59.2,2,2,2017,0.641,8.0,8781713,False,False,False
P001196,Dhaka,N106,Apartment,84.1,3,1,2021,0.637,2.0,12062591,False,True,False
P001197,Rajshahi,N192,Apartment,85.9,2,1,2009,0.403,3.0,4602754,False,False,True
P001198,Mymensingh,N066,Apartment,78.1,1,2,2013,0.335,8.0,6580408,False,False,False
P001199,Chattogram,N019,House,133.1,3,3,2016,0.634,5.0,25570201,True,True,True
P001200,Mymensingh,N108,Land,269.3,0,0,2019,0.417,6.0,9703948,True,False,False
P001201,Chattogram,N098,Apartment,122.6,3,1,2025,0.392,10.0,11062431,True,False,False
P001202,Chattogram,N207,House,134.6,4,2,2014,0.813,3.0,13213188,True,True,True
P001203,Barishal,N014,Apartment,77.3,3,2,2019,0.799,7.0,6454025,True,True,False
P001204,Dhaka,N027,Apartment,89.1,3,1,1998,0.844,3.0,12415844,True,False,True
P001205,Khulna,N203,Apartment,70.9,4,1,2012,0.805,3.0,7719575,False,False,False
P001206,Dhaka,N019,Apartment,98.2,3,2,2020,0.517,,11961274,False,True,False
P001207,Chattogram,N138,House,124.9,3,3,2023,0.641,8.0,18118770,True,False,True
P001208,Khulna,N021,House,103.7,3,3,2000,0.619,2.0,13650674,True,True,True
P001209,Rajshahi,N112,Apartment,35.0,3,3,2013,0.676,9.0,6329192,True,False,False
P001210,Dhaka,N070,House,93.6,2,1,2010,0.73,1.0,19589709,False,True,True
P001211,Barishal,N154,Apartment,128.0,3,1,2024,0.355,6.0,6747626,True,False,True
P001212,Mymensingh,N125,Apartment,124.9,2,2,2002,0.521,11.0,11149624,False,True,True
P001213,Rangpur,N027,Apartment,116.5,3,2,2019,0.633,4.0,7689237,False,True,False
P001214,Khulna,N186,House,195.4,4,3,2017,,8.0,14228892,True,False,True
P001215,Sylhet,N190,Apartment,86.3,1,3,2020,0.727,,7575637,True,True,True
P001216,Rangpur,N063,Land,155.5,0,0,2015,0.691,5.0,8924382,True,False,True
P001217,Dhaka,N148,Apartment,64.8,3,2,2019,0.95,7.0,14560321,True,False,False
P001218,Sylhet,N168,Commercial,205.9,0,0,2020,0.707,5.0,19053222,True,True,True
P001219,Khulna,N184,Apartment,35.0,1,3,2009,0.809,10.0,7152657,False,False,True
P001220,Sylhet,N126,Land,192.4,0,0,2013,0.495,5.0,9507678,False,False,False
P001221,Dhaka,N207,Apartment,106.7,3,1,2021,0.95,6.0,10570311,False,False,True
P001222,Dhaka,N124,Apartment,109.9,2,1,2016,0.926,,15272812,True,True,False
P001223,Mymensingh,N004,Apartment,120.6,3,2,1998,0.581,15.0,11737450,False,False,False
P001224,Dhaka,N076,Apartment,44.5,3,3,2002,0.653,12.0,11873004,True,True,True
P001225,Mymensingh,N027,House,179.9,2,3,2025,0.573,8.0,17578086,False,True,False
P001226,Sylhet,N197,Land,286.6,0,0,2010,0.37,8.0,9271275,True,True,True
P001227,Dhaka,N069,Apartment,79.0,2,1,1996,0.573,12.0,18632042,True,True,False
P001228,Sylhet,N196,Apartment,75.1,3,1,2010,0.698,6.0,4586673,True,False,False
P001229,Rangpur,N075,Apartment,35.0,2,1,2021,0.815,5.0,4127799,True,False,False
P001230,Dhaka,N026,Land,215.3,0,0,2010,0.855,10.0,22122443,True,False,True
P001231,Sylhet,N208,Apartment,132.7,3,1,2025,0.462,13.0,10911441,False,True,False
P001232,Mymensingh,N069,Apartment,74.4,2,2,2006,0.814,6.0,5500102,True,False,True
P001233,Dhaka,N185,Apartment,77.3,3,3,2018,0.878,9.0,17486374,False,True,False
P001234,Mymensingh,N060,Apartment,118.6,2,2,2021,0.663,9.0,7460465,True,False,True
P001235,Dhaka,N195,Apartment,92.9,3,1,2016,0.924,8.0,16784665,True,False,True
P001236,Sylhet,N203,House,137.0,4,3,2019,0.95,8.0,10867082,True,False,False
P001237,Dhaka,N048,Apartment,66.6,3,3,2025,0.687,7.0,8733755,False,True,False
P001238,Khulna,N039,Land,343.8,0,0,2019,0.561,1.0,12424331,False,True,True
P001239,Dhaka,N147,House,202.3,6,3,1999,0.632,7.0,38375731,False,True,True
P001240,Mymensingh,N171,Apartment,82.4,2,1,2014,0.559,10.0,7937337,True,False,True
P001241,Rangpur,N013,Apartment,93.7,2,1,2018,0.756,9.0,8135935,True,True,True
P001242,Rangpur,N021,Apartment,35.5,3,2,2024,0.381,7.0,3529111,False,False,True
P001243,Mymensingh,N183,Apartment,87.2,2,2,2017,0.379,10.0,6234134,True,False,False
P001244,Sylhet,N057,Land,277.5,0,0,2016,,7.0,10576976,False,True,False
P001245,Dhaka,N044,Apartment,83.3,2,1,2020,0.693,9.0,11591446,False,True,True
P001246,Mymensingh,N078,Apartment,71.1,1,1,2017,0.794,6.0,5564796,True,True,True
P001247,Chattogram,N148,Land,60.0,0,0,2007,0.45,6.0,7317706,False,False,True
P001248,Rangpur,N074,Apartment,129.8,3,2,2023,,9.0,7514995,True,True,True
P001249,Barishal,N107,Apartment,96.1,1,3,2008,0.585,8.0,9615644,True,False,True
P001250,Rajshahi,N180,Apartment,105.1,2,2,2001,0.735,7.0,6992811,True,False,True
P001251,Sylhet,N086,Land,343.1,0,0,2017,0.597,6.0,12941107,False,False,False
P001252,Dhaka,N078,Apartment,63.6,3,1,2008,0.584,2.0,9311487,True,True,True
P001253,Khulna,N066,House,195.0,5,3,2015,0.685,,14193416,True,False,False
P001254,Dhaka,N172,House,171.8,3,3,2003,0.721,7.0,19625871,False,True,True
P001255,Mymensingh,N180,Apartment,123.1,4,3,2015,0.537,7.0,8596314,False,False,True
P001256,Dhaka,N138,Apartment,77.5,1,2,2011,0.518,9.0,13601821,True,True,False
P001257,Rangpur,N190,Apartment,61.2,2,1,2013,0.77,11.0,7749837,True,False,False
P001258,Barishal,N022,Apartment,151.0,0,2,2015,0.569,7.0,10613040,False,True,True
P001259,Sylhet,N200,House,195.8,4,3,2012,0.619,4.0,13894174,True,False,False
P001260,Khulna,N191,House,231.2,2,2,2008,0.712,11.0,32172139,False,False,True
P001261,Chattogram,N002,House,189.9,4,2,2004,,8.0,19853541,True,False,True
P001262,Barishal,N207,Land,180.4,0,0,2018,0.721,6.0,8069012,False,False,True
P001263,Chattogram,N003,Land,250.0,0,0,2008,0.787,2.0,14221694,False,True,False
P001264,Barishal,N162,Commercial,235.2,0,0,2002,0.505,14.0,35213506,True,False,True
P001265,Dhaka,N034,House,113.0,5,3,2010,0.649,6.0,18589169,True,True,True
P001266,Barishal,N097,Apartment,79.5,2,2,2009,0.486,,8531480,False,False,True
P001267,Barishal,N074,Apartment,105.2,1,1,2010,,5.0,7184184,False,True,True
P001268,Barishal,N094,Apartment,135.0,2,2,2022,0.709,5.0,6128779,False,False,False
P001269,Chattogram,N029,Commercial,164.0,0,0,2006,0.46,11.0,26820903,False,False,True
P001270,Sylhet,N011,Apartment,145.7,2,2,2025,0.62,7.0,9921836,False,True,False
P001271,Khulna,N177,Apartment,48.1,2,2,2014,0.657,6.0,8422572,True,True,True
P001272,Dhaka,N116,Apartment,119.3,2,3,2011,0.797,8.0,13091289,False,False,False
P001273,Chattogram,N106,Apartment,94.2,2,2,2024,0.472,8.0,8772408,True,False,False
P001274,Chattogram,N184,Land,259.0,0,0,2013,0.578,10.0,12326534,True,True,False
P001275,Dhaka,N112,Commercial,130.3,0,0,2010,,8.0,34225555,False,True,True
P001276,Dhaka,N099,Apartment,93.2,3,1,2012,0.591,9.0,13051178,False,False,True
P001277,Rajshahi,N054,Land,226.4,0,0,2025,0.365,5.0,8299625,False,False,True
P001278,Sylhet,N045,House,183.5,3,3,1992,,5.0,19198774,False,False,False
P001279,Chattogram,N123,Apartment,91.6,4,2,2014,0.616,5.0,6370846,False,True,True
P001280,Mymensingh,N054,Apartment,57.3,2,1,2023,0.576,6.0,3997416,False,False,True
P001281,Dhaka,N034,Apartment,115.5,3,2,2017,,12.0,20552087,True,False,False
P001282,Rajshahi,N119,Apartment,128.0,3,2,2017,0.822,6.0,8071252,True,False,True
P001283,Barishal,N153,House,155.6,1,4,2021,0.764,6.0,15708927,False,False,False
P001284,Sylhet,N055,Apartment,101.1,2,1,2020,0.672,10.0,9775452,False,True,True
P001285,Chattogram,N082,Land,361.3,0,0,2012,0.38,9.0,22895547,False,True,True
P001286,Rangpur,N201,House,158.6,3,1,2021,0.893,4.0,13281174,False,True,False
P001287,Sylhet,N158,Apartment,94.0,3,1,2015,0.619,7.0,9759452,False,False,False
P001288,Dhaka,N125,Apartment,51.2,2,2,2016,0.401,1.0,7522404,True,True,False
P001289,Sylhet,N201,Apartment,110.8,3,1,2006,0.763,9.0,10664862,True,True,False
P001290,Chattogram,N208,Commercial,60.0,0,0,2009,0.51,10.0,15914591,True,True,True
P001291,Dhaka,N166,Apartment,153.1,2,2,2010,0.602,9.0,16839774,False,False,False
P001292,Chattogram,N195,Commercial,81.9,0,0,2007,0.537,13.0,19158402,True,False,True
P001293,Chattogram,N087,House,144.0,4,2,2005,0.264,,12555343,True,True,True
P001294,Dhaka,N083,House,144.7,4,1,2021,0.659,7.0,21045319,True,True,True
P001295,Dhaka,N080,House,205.4,4,3,2008,0.875,7.0,29049984,True,True,False
P001296,Sylhet,N210,House,146.8,3,4,2005,0.612,5.0,15443971,True,True,True
P001297,Chattogram,N161,Apartment,158.2,3,1,2016,0.583,13.0,12021044,False,False,True
P001298,Rajshahi,N147,Apartment,94.1,2,2,2007,0.514,12.0,6265885,True,True,True
P001299,Rajshahi,N153,Apartment,79.4,2,2,2019,0.555,6.0,7239255,True,False,True
P001300,Mymensingh,N051,House,112.8,2,1,2017,0.423,4.0,9678532,True,False,True
P001301,Chattogram,N175,Apartment,121.9,2,2,2017,0.738,8.0,16711807,True,True,False
P001302,Rajshahi,N183,Apartment,120.7,1,3,2007,0.75,8.0,7074577,True,True,True
P001303,Sylhet,N130,Apartment,132.7,1,3,2010,0.76,8.0,9903009,False,True,False
P001304,Sylhet,N169,Apartment,41.8,2,1,2018,0.729,8.0,9402375,True,True,True
P001305,Khulna,N017,Apartment,118.4,2,2,2001,0.695,3.0,5836352,True,False,True
P001306,Barishal,N074,House,134.4,3,2,2017,0.569,6.0,12925885,True,True,True
P001307,Rajshahi,N021,House,101.5,5,2,2014,0.709,7.0,11956784,True,True,False
P001308,Rajshahi,N058,Apartment,80.9,4,1,2024,0.667,5.0,7822162,False,False,True
P001309,Dhaka,N065,Apartment,83.2,2,2,2001,0.468,11.0,14406363,True,False,True
P001310,Barishal,N077,Apartment,88.2,3,1,2010,0.532,6.0,5464451,True,False,True
P001311,Khulna,N029,Apartment,98.8,1,1,2015,0.687,7.0,10937873,False,True,False
P001312,Rangpur,N078,Commercial,433.5,0,0,2024,0.666,12.0,38440930,False,True,False
P001313,Dhaka,N066,Apartment,115.2,4,1,2020,0.618,4.0,13022804,True,True,True
P001314,Chattogram,N137,Apartment,122.4,2,2,2009,0.624,8.0,12878083,True,False,True
P001315,Sylhet,N143,Apartment,108.1,1,2,2015,0.564,5.0,9143797,False,True,False
P001316,Rangpur,N116,House,92.5,2,4,2021,0.625,8.0,8481214,True,False,False
P001317,Rangpur,N092,House,193.0,4,1,2021,0.777,8.0,17127884,False,False,False
P001318,Rajshahi,N031,Apartment,101.6,2,2,2024,0.888,8.0,9632358,True,True,False
P001319,Sylhet,N042,Apartment,156.2,4,2,2005,0.686,5.0,9072647,True,False,False
P001320,Chattogram,N212,Land,315.2,0,0,2025,,,13844650,True,False,True
P001321,Dhaka,N115,Apartment,122.3,2,1,2007,,6.0,13564405,False,False,True
P001322,Khulna,N146,Apartment,70.0,3,2,2016,0.608,5.0,5230845,True,False,False
P001323,Mymensingh,N069,Apartment,91.3,0,2,2010,0.825,9.0,9656999,True,False,False
P001324,Chattogram,N072,Apartment,126.0,2,3,2013,0.901,6.0,11616029,False,False,True
P001325,Khulna,N100,Apartment,90.3,2,1,2011,0.82,8.0,11546564,True,True,True
P001326,Mymensingh,N095,Apartment,79.3,3,2,2025,0.532,6.0,6724559,True,False,True
P001327,Dhaka,N006,House,279.0,2,2,2004,0.68,10.0,30502002,True,False,True
P001328,Dhaka,N078,House,165.3,4,2,2000,0.877,10.0,34642099,True,True,False
P001329,Rajshahi,N032,Commercial,223.2,0,0,2006,0.249,8.0,14607002,False,False,False
P001330,Chattogram,N011,Commercial,228.9,0,0,2006,0.566,,34196235,True,False,True
P001331,Rajshahi,N191,Land,127.3,0,0,2018,0.867,10.0,7569054,False,True,False
P001332,Chattogram,N136,Apartment,35.0,2,1,2012,0.732,8.0,8989951,True,False,True
P001333,Khulna,N198,Apartment,96.2,3,2,2017,0.605,6.0,5519476,False,False,True
P001334,Mymensingh,N001,Apartment,69.7,1,2,2016,0.658,10.0,5617017,False,False,True
P001335,Chattogram,N147,Commercial,175.7,0,0,2007,0.95,8.0,38710378,False,False,True
P001336,Sylhet,N027,House,139.7,3,1,2009,0.683,3.0,15833313,False,False,True
P001337,Mymensingh,N200,House,175.6,3,2,2005,0.773,6.0,17655480,True,False,False
P001338,Chattogram,N033,Apartment,145.3,2,2,2020,,11.0,18971041,False,False,True
P001339,Dhaka,N118,Commercial,60.0,0,0,2003,0.95,,22647726,False,False,False
P001340,Sylhet,N015,Apartment,76.3,0,1,1997,0.618,3.0,5908823,False,True,False
P001341,Rajshahi,N152,House,210.2,2,1,2008,0.693,5.0,13906504,True,True,False
P001342,Chattogram,N101,Land,368.3,0,0,2025,0.787,6.0,17576078,False,True,False
P001343,Sylhet,N201,Apartment,46.1,2,2,2007,0.468,5.0,7170789,False,True,True
P001344,Barishal,N074,Apartment,110.1,2,2,2012,0.907,4.0,7623632,False,False,True
P001345,Dhaka,N018,Commercial,211.9,0,0,2005,0.677,3.0,27289539,False,True,True
P001346,Dhaka,N041,Apartment,145.0,3,2,2002,0.576,7.0,16318980,True,True,False
P001347,Sylhet,N206,Apartment,68.4,4,3,2007,0.662,9.0,7310911,False,False,False
P001348,Chattogram,N210,Commercial,347.9,0,0,2018,0.461,,31084781,False,True,True
P001349,Dhaka,N181,Apartment,45.6,2,3,2000,0.663,13.0,14496067,True,True,False
P001350,Dhaka,N019,Land,177.8,0,0,2025,0.784,4.0,13562396,False,True,False
P001351,Dhaka,N077,Commercial,214.7,0,0,2000,0.451,9.0,35856988,True,False,True
P001352,Dhaka,N032,Apartment,116.0,2,2,2007,0.753,,18042840,True,True,True
P001353,Sylhet,N219,Apartment,76.2,3,1,2005,0.43,4.0,7252209,False,True,False
P001354,Mymensingh,N021,Apartment,79.4,2,1,2009,0.642,7.0,6401802,True,True,True
P001355,Barishal,N201,Apartment,91.7,3,1,2025,0.651,10.0,6959085,True,False,False
P001356,Khulna,N093,Apartment,166.2,2,3,2011,0.615,5.0,8127901,True,True,True
P001357,Sylhet,N172,Land,183.6,0,0,2010,0.613,10.0,10702352,False,True,True
P001358,Rajshahi,N204,Commercial,310.5,0,0,2019,0.815,1.0,23197077,False,False,True
P001359,Dhaka,N212,Apartment,67.6,0,1,2006,0.405,8.0,11125694,False,True,False
P001360,Chattogram,N061,Apartment,69.8,2,2,2014,,9.0,7834223,True,False,False
P001361,Chattogram,N007,Apartment,63.5,3,3,2025,0.76,6.0,8193970,False,True,True
P001362,Dhaka,N149,Land,171.5,0,0,2019,0.95,9.0,20278578,False,True,True
P001363,Mymensingh,N188,Apartment,73.7,3,3,2016,0.528,6.0,6174380,False,True,False
P001364,Dhaka,N158,Apartment,128.4,2,2,2016,0.721,8.0,15126574,False,False,True
P001365,Sylhet,N034,Apartment,128.1,3,2,2009,0.85,10.0,9302381,False,False,True
P001366,Chattogram,N209,House,143.9,2,2,2003,0.64,4.0,19515871,True,True,False
P001367,Chattogram,N027,House,168.3,4,1,2019,0.843,8.0,26456549,True,False,False
P001368,Sylhet,N038,Commercial,173.0,0,0,2013,0.758,7.0,23852908,False,True,False
P001369,Barishal,N015,Apartment,59.5,2,4,2019,0.838,9.0,5982139,True,True,False
P001370,Dhaka,N092,Apartment,94.9,2,2,2025,0.624,5.0,13919954,False,True,True
P001371,Khulna,N107,Apartment,137.0,2,2,2025,0.535,10.0,6880528,False,False,True
P001372,Rajshahi,N188,Apartment,35.0,4,2,2014,,1.0,3868001,False,False,False
P001373,Dhaka,N188,House,148.3,3,3,2016,0.63,4.0,19674147,True,True,True
P001374,Barishal,N034,Apartment,76.6,3,2,2006,0.667,13.0,10485240,False,False,True
P001375,Rajshahi,N172,House,263.3,2,4,2008,0.81,8.0,25520090,False,False,False
P001376,Rajshahi,N178,Apartment,55.1,3,2,2010,0.661,5.0,8946566,True,True,True
P001377,Dhaka,N177,Apartment,153.1,4,2,2017,0.801,5.0,13021415,False,False,True
P001378,Khulna,N085,Apartment,99.6,4,1,2011,0.46,6.0,8382070,True,False,True
P001379,Khulna,N032,Land,236.1,0,0,2015,0.296,7.0,9175953,False,False,False
P001380,Chattogram,N082,Apartment,105.3,3,1,2011,0.874,7.0,11099265,True,False,True
P001381,Sylhet,N054,House,131.8,4,2,2008,0.729,10.0,15422417,False,False,True
P001382,Dhaka,N088,Commercial,230.9,0,0,2019,0.863,13.0,65049616,True,True,False
P001383,Khulna,N177,Apartment,140.6,3,2,2016,0.371,7.0,8086470,False,True,True
P001384,Dhaka,N095,Apartment,36.5,2,2,2008,0.607,9.0,8412369,True,True,False
P001385,Chattogram,N057,House,70.0,2,1,2017,0.521,6.0,15361082,True,False,True
P001386,Rangpur,N009,Apartment,87.8,4,2,2010,0.561,5.0,7173536,True,False,True
P001387,Chattogram,N077,Apartment,69.8,1,1,2021,0.775,10.0,11417789,True,True,False
P001388,Mymensingh,N007,Apartment,117.1,1,2,2025,0.763,8.0,7539033,True,False,True
P001389,Barishal,N018,Apartment,116.5,2,3,2010,0.717,11.0,6403611,False,True,True
P001390,Mymensingh,N178,Apartment,137.4,3,2,2016,0.513,6.0,12439208,False,False,True
P001391,Rangpur,N016,House,140.0,4,1,2018,0.609,7.0,11539894,True,False,True
P001392,Rangpur,N107,Apartment,97.0,4,2,2013,0.69,4.0,9654738,False,False,True
P001393,Chattogram,N125,House,175.1,3,4,2007,0.466,7.0,19972995,True,True,False
P001394,Rangpur,N188,Apartment,43.9,2,1,2015,0.551,9.0,6438853,False,False,False
P001395,Chattogram,N047,House,204.7,2,2,2019,0.653,5.0,16649023,True,False,True
P001396,Rangpur,N078,Apartment,82.7,2,1,2002,0.662,8.0,10043709,True,True,True
P001397,Chattogram,N178,House,135.4,4,1,2012,0.731,8.0,19165760,True,False,False
P001398,Dhaka,N088,House,242.9,4,3,2022,0.461,2.0,23528584,True,False,False
P001399,Mymensingh,N075,Apartment,111.1,3,3,2021,0.413,4.0,7672260,False,False,False
P001400,Sylhet,N215,Land,252.1,0,0,2003,0.422,7.0,8421039,False,True,False
P001401,Sylhet,N051,House,206.9,2,3,2002,0.736,6.0,24992355,True,False,False
P001402,Rangpur,N051,House,178.2,5,3,2023,0.471,10.0,11374746,True,True,False
P001403,Mymensingh,N132,Apartment,66.6,1,2,1999,0.518,9.0,7158687,False,True,True
P001404,Barishal,N218,Apartment,92.0,3,1,2008,0.343,8.0,6521532,True,False,False
P001405,Khulna,N105,Apartment,114.0,2,3,2021,0.73,9.0,12542769,True,False,True
