listing_id,property_id,agent_id,listing_date,listing_channel,listed_price,sold_flag,days_on_market,close_date
L0001288,P003316,A00141,2024-02-21,Exclusive,23255841,False,156,
L0001289,P001393,A00218,2022-01-25,Partner,19180888,False,30,
L0001290,P003119,A00283,2024-06-16,Open,15413632,False,86,
L0001291,P002129,A00006,2022-03-17,Exclusive,4056246,True,26,2022-04-12
L0001292,P002964,A00182,2024-05-29,Exclusive,7979212,False,31,
L0001293,P002993,A00001,2022-06-28,Exclusive,7023855,False,143,
L0001294,P001018,A00203,2023-11-05,Exclusive,19646555,False,112,
L0001295,P000816,A00219,2022-01-21,Partner,39901395,False,153,
L0001296,P003882,A00223,2023-12-20,Exclusive,19635214,False,92,
L0001297,P000639,A00091,2023-12-30,Open,11040856,False,59,
L0001298,P002917,A00127,2024-11-13,Exclusive,10643255,False,73,
L0001299,P002725,A00247,2023-09-15,Partner,11350073,True,31,2023-10-16
L0001300,P002611,A00077,2023-12-10,Open,10455945,False,127,
L0001301,P003650,A00208,2024-01-05,Exclusive,22284499,False,53,
L0001302,P003587,A00183,2024-11-21,Open,52422183,False,7,
L0001303,P003914,A00258,2024-04-15,Open,8277165,False,7,
L0001304,P001351,A00259,2022-01-07,Open,32513942,False,187,
L0001305,P003472,A00286,2023-06-18,Partner,12288817,False,111,
L0001306,P001742,A00288,2022-12-05,Exclusive,37701292,False,7,
L0001307,P000765,A00240,2022-11-06,Open,12789118,False,149,
L0001308,P001087,A00026,2023-10-06,Exclusive,15935847,True,45,2023-11-20
L0001309,P002030,A00261,2024-08-26,Exclusive,26503369,True,57,2024-10-22
L0001310,P000018,A00076,2024-12-08,Open,7727138,False,186,
L0001311,P001492,A00194,2022-04-20,Exclusive,7867185,True,11,2022-05-01
L0001312,P000957,A00273,2022-10-29,Exclusive,6530095,False,146,
L0001313,P003371,A00110,2024-08-11,Exclusive,38452549,False,249,
L0001314,P000562,A00239,2022-09-23,Open,8845089,True,62,2022-11-24
L0001315,P001571,A00172,2022-01-29,Open,8355662,False,103,
L0001316,P003171,A00161,2024-08-20,Open,14352669,True,24,2024-09-13
L0001317,P001836,A00024,2023-07-22,Open,11506369,True,44,2023-09-04
L0001318,P000743,A00156,2022-05-15,Exclusive,10103369,False,43,
L0001319,P004046,A00135,2022-04-13,Open,12337109,False,75,
L0001320,P003783,A00190,2022-04-02,Open,9946353,False,74,
L0001321,P002492,A00009,2024-07-14,Exclusive,5284157,True,65,2024-09-17
L0001322,P000778,A00019,2022-08-19,Partner,11204172,True,32,2022-09-20
L0001323,P001818,A00032,2022-03-08,Exclusive,24077864,False,107,
L0001324,P002554,A00152,2024-09-03,Exclusive,10574236,True,37,2024-10-10
L0001325,P003503,A00076,2022-02-07,Exclusive,11165728,True,98,2022-05-16
L0001326,P000583,A00166,2024-08-24,Exclusive,11915402,True,3,2024-08-27
L0001327,P002145,A00142,2023-07-31,Exclusive,27608361,True,49,2023-09-18
L0001328,P003141,A00109,2024-02-08,Exclusive,8025713,True,47,2024-03-26
L0001329,P003617,A00161,2024-11-16,Exclusive,13834782,False,165,
L0001330,P002045,A00172,2024-04-30,Exclusive,7532789,False,141,
L0001331,P003516,A00138,2024-05-28,Open,5359810,True,36,2024-07-03
L0001332,P000806,A00029,2024-04-17,Exclusive,11504848,False,150,
L0001333,P002023,A00166,2024-06-12,Exclusive,9207237,False,144,
L0001334,P001518,A00025,2023-03-22,Open,11357511,False,55,
L0001335,P003151,A00276,2022-08-28,Open,11043053,False,74,
L0001336,P001346,A00138,2023-04-09,Open,16359486,False,100,
L0001337,P000027,A00016,2023-03-16,Exclusive,11974664,True,45,2023-04-30
L0001338,P003406,A00230,2023-07-16,Open,10526126,True,30,2023-08-15
L0001339,P000132,A00210,2022-10-17,Exclusive,15979910,True,41,2022-11-27
L0001340,P001241,A00129,2022-10-05,Partner,8251120,False,140,
L0001341,P000795,A00239,2023-11-06,Open,26401067,False,7,
L0001342,P004259,A00073,2022-06-08,Partner,38604856,False,82,
L0001343,P001885,A00137,2022-03-22,Exclusive,7955740,False,101,
L0001344,P000731,A00189,2024-08-01,Open,5821249,False,80,
L0001345,P003925,A00296,2023-05-18,Open,12588256,False,106,
L0001346,P001268,A00232,2024-08-14,Exclusive,6774161,False,64,
L0001347,P002893,A00202,2024-09-24,Open,7835779,True,47,2024-11-10
L0001348,P004371,A00121,2022-10-21,Open,8216556,False,186,
L0001349,P001387,A00297,2022-10-03,Open,11513860,True,6,2022-10-09
L0001350,P001299,A00098,2023-03-01,Exclusive,7356225,True,46,2023-04-16
L0001351,P003462,A00106,2022-03-08,Exclusive,8791931,True,48,2022-04-25
L0001352,P001261,A00069,2024-01-30,Open,20305236,False,73,
L0001353,P001156,A00275,2024-12-15,Exclusive,16954822,True,3,2024-12-18
L0001354,P001787,A00151,2022-01-26,Exclusive,11424895,True,64,2022-03-31
L0001355,P000085,A00218,2024-10-15,Exclusive,13299709,False,65,
L0001356,P004099,A00265,2022-08-18,Open,14573491,True,72,2022-10-29
L0001357,P003457,A00178,2024-11-08,Open,19331100,False,148,
L0001358,P002418,A00013,2022-08-01,Exclusive,6865606,False,88,
L0001359,P004263,A00015,2023-03-11,Exclusive,7840667,True,58,2023-05-08
L0001360,P004489,A00004,2022-12-19,Open,8000146,False,88,
L0001361,P000231,A00157,2023-12-23,Partner,7307697,False,187,
L0001362,P000441,A00009,2022-08-16,Exclusive,6052126,True,60,
L0001363,P004452,A00110,2023-03-24,Exclusive,22862016,True,3,
L0001364,P001348,A00282,2024-08-27,Exclusive,32683392,False,123,
L0001365,P003545,A00226,2022-03-11,Exclusive,10790908,False,7,
L0001366,P002697,A00082,2022-12-28,Open,6965069,False,115,
L0001367,P004023,A00220,2024-06-16,Exclusive,12963375,True,53,2024-08-08
L0001368,P004176,A00035,2022-01-07,Exclusive,12769688,True,46,2022-02-22
L0001369,P002143,A00224,2023-01-21,Exclusive,15711169,True,42,
L0001370,P002801,A00087,2024-01-16,Open,13336993,True,24,2024-02-09
L0001371,P003433,A00070,2022-09-29,Exclusive,9169147,True,48,2022-11-16
L0001372,P002130,A00001,2023-01-13,Partner,7079681,True,53,2023-03-07
L0001373,P001498,A00166,2022-07-02,Open,8544333,False,50,
L0001374,P000126,A00061,2024-08-21,Exclusive,10921181,True,63,2024-10-23
L0001375,P000958,A00227,2022-03-09,Exclusive,17071460,False,127,
L0001376,P002421,A00094,2023-10-27,Open,19997071,False,38,
L0001377,P004445,A00110,2024-08-08,Open,12922188,True,52,2024-09-29
L0001378,P000763,A00024,2022-07-28,Open,11585797,False,102,
L0001379,P003497,A00209,2022-06-20,Exclusive,12910738,True,64,2022-08-23
L0001380,P000857,A00143,2022-10-03,Open,14454674,True,5,2022-10-08
L0001381,P003824,A00094,2023-02-03,Exclusive,12720047,True,24,2023-02-27
L0001382,P000260,A00024,2022-08-27,Partner,17990415,False,61,
L0001383,P002271,A00234,2024-04-12,Open,24390802,True,37,2024-05-19
L0001384,P000083,A00186,2024-09-24,Partner,6585935,True,45,2024-11-08
L0001385,P002639,A00228,2022-03-12,Partner,5202861,True,38,2022-04-19
L0001386,P004009,A00091,2022-05-15,Partner,38631975,True,23,2022-06-07
L0001387,P003179,A00269,2022-09-11,Open,7826414,True,26,2022-10-07
L0001388,P003981,A00232,2024-06-09,Open,6890917,False,155,
L0001389,P000871,A00113,2022-03-02,Exclusive,29651777,True,82,2022-05-23
L0001390,P001399,A00004,2022-07-24,Open,7347470,False,198,
L0001391,P003656,A00293,2024-12-03,Partner,19403458,True,30,
L0001392,P001586,A00084,2022-11-14,Open,18817739,False,234,
L0001393,P001927,A00168,2022-10-14,Exclusive,11723681,False,117,
L0001394,P001419,A00120,2023-02-25,Open,7982044,False,54,
L0001395,P004360,A00065,2022-02-08,Open,12671185,True,74,
L0001396,P000615,A00086,2022-09-08,Exclusive,26177979,True,61,2022-11-08
L0001397,P003306,A00096,2024-01-06,Exclusive,24366400,False,113,
L0001398,P002830,A00132,2023-08-31,Exclusive,19480163,False,69,
L0001399,P000099,A00234,2023-03-06,Open,12742465,False,122,
L0001400,P003618,A00053,2022-07-21,Exclusive,9369948,False,157,
L0001401,P004485,A00230,2024-05-01,Open,10494479,True,48,2024-06-18
L0001402,P003673,A00042,2022-05-09,Exclusive,24999853,True,76,2022-07-24
L0001403,P003968,A00122,2022-08-05,Open,14362952,True,38,2022-09-12
L0001404,P001571,A00285,2024-02-29,Exclusive,8361390,False,166,
L0001405,P002894,A00062,2024-10-15,Exclusive,10479110,True,57,2024-12-11
L0001406,P001696,A00066,2022-09-23,Partner,14041373,True,80,2022-12-12
L0001407,P003132,A00269,2023-09-10,Exclusive,17155047,False,7,
L0001408,P001967,A00243,2022-03-10,Open,23264299,True,56,2022-05-05
L0001409,P000968,A00101,2022-05-30,Exclusive,19579501,False,46,
L0001410,P002190,A00079,2023-04-19,Partner,16599914,False,154,
L0001411,P004345,A00094,2024-02-02,Partner,13140546,True,6,2024-02-08
L0001412,P001060,A00037,2023-02-08,Exclusive,15944449,True,69,2023-04-18
L0001413,P000124,A00182,2022-02-14,Open,21444043,False,179,
L0001414,P001043,A00251,2023-04-11,Exclusive,7357798,False,57,
L0001415,P003920,A00166,2023-12-25,Open,31507322,False,58,
L0001416,P001612,A00187,2022-11-09,Exclusive,8974193,True,60,2023-01-08
L0001417,P001324,A00277,2023-11-17,Open,10767690,False,105,
L0001418,P001957,A00089,2022-08-19,Exclusive,11451406,False,120,
L0001419,P000109,A00206,2023-07-17,Exclusive,20998734,True,83,2023-10-08
L0001420,P003898,A00072,2023-05-07,Partner,8971234,False,74,
L0001421,P002304,A00296,2022-05-24,Open,16135109,True,85,2022-08-17
L0001422,P004043,A00150,2023-02-19,Exclusive,25085816,False,144,
L0001423,P001060,A00098,2022-02-14,Exclusive,15329900,True,10,2022-02-24
L0001424,P002359,A00160,2022-02-15,Open,35454225,True,45,2022-04-01
L0001425,P001521,A00290,2022-06-30,Open,8135538,False,85,
L0001426,P002872,A00208,2024-01-30,Exclusive,16831496,False,138,
L0001427,P002636,A00007,2022-05-13,Open,9008284,True,21,2022-06-03
L0001428,P003750,A00187,2023-10-31,Open,15804789,False,89,
L0001429,P000142,A00135,2023-12-21,Open,19952646,True,42,2024-02-01
L0001430,P000327,A00062,2023-05-27,Open,6158904,False,89,
L0001431,P003045,A00246,2023-11-17,Partner,19103487,False,86,
L0001432,P000957,A00202,2024-01-16,Open,6317064,True,50,2024-03-06
L0001433,P001158,A00009,2022-09-23,Open,16430598,False,201,
L0001434,P000761,A00169,2022-02-15,Partner,11247649,True,80,2022-05-06
L0001435,P000850,A00292,2022-10-27,Open,22772288,True,59,2022-12-25
L0001436,P002107,A00182,2023-03-01,Open,12808218,True,43,2023-04-13
L0001437,P003363,A00048,2022-05-11,Exclusive,13111041,False,119,
L0001438,P001512,A00132,2022-03-18,Partner,9726764,True,33,2022-04-20
L0001439,P000879,A00203,2024-03-26,Partner,27627838,True,38,2024-05-03
L0001440,P001712,A00101,2024-04-06,Exclusive,16182549,True,85,2024-06-30
L0001441,P003201,A00266,2022-06-05,Exclusive,32060453,True,50,2022-07-25
L0001442,P003377,A00114,2023-02-23,Open,4995834,True,36,2023-03-31
L0001443,P003646,A00227,2024-05-02,Open,18570732,False,150,
L0001444,P000651,A00163,2022-01-15,Open,15282204,False,55,
L0001445,P002789,A00085,2023-05-09,Open,16840171,False,24,
L0001446,P004061,A00181,2023-05-31,Exclusive,8881587,False,202,
L0001447,P000247,A00255,2022-01-13,Exclusive,13259837,False,90,
L0001448,P000202,A00275,2024-04-18,Exclusive,42445136,False,93,
L0001449,P004355,A00146,2024-09-06,Partner,12572639,False,77,
L0001450,P004417,A00074,2022-02-06,Exclusive,8787182,True,53,
L0001451,P000626,A00013,2022-09-21,Exclusive,13781494,True,69,2022-11-29
L0001452,P004108,A00267,2023-01-16,Open,9071874,False,38,
L0001453,P001568,A00038,2023-08-09,Exclusive,9496346,True,51,2023-09-29
L0001454,P002785,A00052,2022-01-01,Open,21927212,True,56,2022-02-26
L0001455,P001248,A00176,2022-02-02,Exclusive,7795355,False,95,
L0001456,P001370,A00231,2023-11-21,Exclusive,14968946,False,68,
L0001457,P002458,A00178,2024-05-23,Open,22873787,True,66,
L0001458,P002539,A00102,2023-06-29,Exclusive,7680148,False,139,
L0001459,P001985,A00270,2023-12-14,Exclusive,11751427,False,7,
L0001460,P001629,A00285,2022-04-02,Exclusive,11222073,True,21,2022-04-23
L0001461,P003572,A00138,2022-10-16,Open,5878823,True,54,2022-12-09
L0001462,P001504,A00031,2022-07-24,Open,20888351,False,147,
L0001463,P003009,A00052,2022-12-18,Partner,9548013,False,120,
L0001464,P004061,A00136,2023-10-20,Partner,8582731,False,196,
L0001465,P002991,A00036,2023-07-20,Exclusive,9438287,True,68,2023-09-26
L0001466,P001917,A00177,2022-06-19,Open,10170850,True,44,2022-08-02
L0001467,P000718,A00192,2024-02-21,Exclusive,25438895,True,29,2024-03-21
L0001468,P000369,A00142,2023-07-26,Exclusive,10781859,False,72,
L0001469,P000972,A00028,2024-03-28,Exclusive,5956163,True,15,2024-04-12
L0001470,P000415,A00125,2023-04-22,Exclusive,14382715,False,143,
L0001471,P004287,A00086,2024-08-06,Exclusive,20840041,True,38,2024-09-13
L0001472,P001555,A00110,2022-08-29,Open,23339100,False,60,
L0001473,P001726,A00269,2024-08-22,Open,27492725,True,9,2024-08-31
L0001474,P003831,A00294,2024-08-27,Exclusive,34986832,True,56,2024-10-22
L0001475,P003156,A00154,2024-06-22,Open,8412945,False,151,
L0001476,P003968,A00042,2023-09-02,Open,14636492,False,89,
L0001477,P001589,A00071,2023-07-17,Exclusive,7545360,False,56,
L0001478,P003718,A00127,2024-09-19,Exclusive,12577010,True,26,2024-10-15
L0001479,P001222,A00289,2022-10-21,Exclusive,15739145,True,34,2022-11-24
L0001480,P003794,A00223,2022-05-11,Open,17783058,False,142,
L0001481,P000696,A00184,2022-11-16,Partner,18996402,True,66,2023-01-21
L0001482,P002617,A00240,2022-01-05,Exclusive,8295063,True,36,2022-02-10
L0001483,P000380,A00157,2023-12-08,Exclusive,12227374,False,36,
L0001484,P000398,A00226,2024-08-03,Open,7618408,True,3,2024-08-06
L0001485,P003462,A00132,2023-05-06,Open,10353776,False,7,
L0001486,P004152,A00299,2023-07-04,Open,10482963,True,84,2023-09-26
L0001487,P004155,A00089,2022-07-05,Partner,9609595,True,60,2022-09-03
L0001488,P003081,A00177,2023-10-23,Open,22072081,True,38,2023-11-30
L0001489,P000297,A00132,2024-01-06,Exclusive,6327609,True,45,2024-02-20
L0001490,P001869,A00139,2022-06-15,Exclusive,11683712,False,130,
L0001491,P004164,A00273,2023-06-07,Partner,13289952,True,61,2023-08-07
L0001492,P000341,A00024,2023-08-04,Open,8522890,False,46,
L0001493,P001816,A00160,2022-08-23,Exclusive,16252040,True,65,2022-10-27
L0001494,P001270,A00026,2023-09-16,Partner,10598777,False,222,
L0001495,P002008,A00088,2022-09-18,Open,29990451,True,4,
L0001496,P003754,A00030,2024-07-24,Open,18396956,True,38,2024-08-31
L0001497,P002131,A00300,2024-07-05,Partner,11988471,False,101,
L0001498,P003855,A00122,2024-02-19,Partner,9772871,True,26,2024-03-16
L0001499,P003302,A00042,2022-11-23,Partner,12356345,True,56,2023-01-18
L0001500,P000544,A00255,2022-07-13,Partner,6107693,True,94,2022-10-15
L0001501,P003477,A00127,2023-02-15,Open,10125713,False,176,
L0001502,P001028,A00194,2023-02-04,Exclusive,6118258,True,58,2023-04-03
L0001503,P002583,A00056,2022-10-02,Exclusive,16351476,True,51,2022-11-22
L0001504,P001284,A00138,2024-05-03,Exclusive,9543813,True,26,2024-05-29
L0001505,P000584,A00062,2023-08-28,Open,5817444,False,140,
L0001506,P003669,A00167,2024-03-19,Partner,13343101,True,39,2024-04-27
L0001507,P000201,A00082,2023-12-16,Exclusive,11599905,True,39,2024-01-24
L0001508,P000734,A00127,2024-03-20,Exclusive,7411314,False,94,
L0001509,P001813,A00051,2024-11-01,Exclusive,24290856,False,99,
L0001510,P001212,A00198,2024-03-31,Exclusive,11209276,False,28,
L0001511,P003334,A00261,2022-03-24,Open,15241383,False,131,
L0001512,P001438,A00047,2022-03-25,Open,14015078,False,146,
L0001513,P003026,A00178,2024-07-18,Exclusive,5874891,False,7,
L0001514,P004042,A00163,2022-05-23,Exclusive,13012378,False,206,
L0001515,P003551,A00260,2024-05-28,Exclusive,9620229,False,104,
L0001516,P001538,A00290,2024-09-18,Exclusive,6673837,False,161,
L0001517,P004109,A00270,2023-10-08,Exclusive,27330807,False,128,
L0001518,P000629,A00001,2023-10-18,Exclusive,13499811,False,171,
L0001519,P004350,A00229,2022-01-12,Partner,10305020,True,48,2022-03-01
L0001520,P002981,A00043,2023-05-30,Open,15259282,False,104,
L0001521,P003891,A00161,2023-06-08,Exclusive,18009741,True,58,2023-08-05
L0001522,P001200,A00109,2023-04-08,Exclusive,10393679,True,26,2023-05-04
L0001523,P000394,A00104,2024-05-14,Partner,21059515,True,40,2024-06-23
L0001524,P003798,A00025,2022-04-09,Open,8573489,False,7,
L0001525,P002394,A00185,2022-09-04,Open,5608294,True,35,2022-10-09
L0001526,P003018,A00190,2024-10-08,Exclusive,22847649,False,107,
L0001527,P002217,A00170,2024-04-10,Open,27374304,False,86,
L0001528,P003214,A00276,2023-07-27,Partner,8833038,True,53,2023-09-18
L0001529,P003471,A00184,2022-02-14,Open,14160753,False,118,
L0001530,P001734,A00041,2022-11-11,Exclusive,10715715,False,73,
L0001531,P001011,A00219,2022-03-16,Exclusive,32779475,True,61,2022-05-16
L0001532,P003999,A00071,2022-11-05,Partner,8454089,False,67,
L0001533,P000581,A00253,2022-12-14,Open,7496020,True,23,2023-01-06
L0001534,P000937,A00293,2024-11-03,Exclusive,10580346,False,32,
L0001535,P002534,A00233,2022-03-17,Partner,6927471,False,7,
L0001536,P002442,A00030,2024-04-08,Exclusive,7334296,False,49,
L0001537,P003755,A00014,2024-10-10,Exclusive,12543506,True,62,2024-12-11
L0001538,P004438,A00172,2024-08-16,Exclusive,5630851,True,35,2024-09-20
L0001539,P002427,A00069,2022-10-10,Open,8811184,False,116,
L0001540,P001927,A00239,2022-09-05,Exclusive,11522917,True,64,2022-11-08
L0001541,P000063,A00111,2022-06-12,Open,17329463,True,50,2022-08-01
L0001542,P001165,A00270,2024-07-11,Exclusive,6618721,True,45,2024-08-25
L0001543,P002073,A00003,2024-11-23,Partner,11313061,False,172,
L0001544,P001710,A00288,2024-03-26,Open,8680385,True,29,2024-04-24
L0001545,P000113,A00079,2024-05-06,Open,12120634,False,173,
L0001546,P003833,A00124,2023-07-24,Exclusive,8838394,True,61,2023-09-23
L0001547,P000920,A00018,2024-05-21,Open,25392066,True,55,2024-07-15
L0001548,P000846,A00233,2024-12-05,Open,9628038,False,104,
L0001549,P003882,A00282,2022-11-17,Open,18903806,False,101,
L0001550,P003503,A00162,2024-01-25,Open,10601887,False,87,
L0001551,P004198,A00197,2023-05-21,Exclusive,10375418,True,43,2023-07-03
L0001552,P003011,A00163,2023-04-25,Open,17498977,False,116,
L0001553,P000725,A00040,2023-04-25,Open,9253250,True,38,2023-06-02
L0001554,P000237,A00286,2023-07-12,Exclusive,3943924,False,80,
L0001555,P001258,A00249,2023-10-22,Open,8890591,False,117,
L0001556,P003295,A00232,2022-10-22,Open,18330449,False,92,
L0001557,P000423,A00124,2022-04-05,Open,10228485,True,25,2022-04-30
L0001558,P002501,A00009,2024-10-05,Open,36757861,True,3,2024-10-08
L0001559,P002070,A00191,2024-03-19,Exclusive,21549679,False,61,
L0001560,P000174,A00130,2022-02-17,Exclusive,5526639,False,148,
L0001561,P004001,A00108,2023-06-16,Exclusive,18771811,True,46,2023-08-01
L0001562,P001288,A00225,2024-06-11,Open,7016788,False,118,
L0001563,P000599,A00164,2024-01-04,Exclusive,15333731,False,152,
L0001564,P001418,A00082,2024-11-14,Exclusive,14961133,True,78,2025-01-31
L0001565,P003428,A00010,2023-11-17,Exclusive,12789115,True,62,2024-01-18
L0001566,P001508,A00220,2023-06-20,Exclusive,5530833,True,3,2023-06-23
L0001567,P001173,A00080,2024-11-15,Exclusive,8758601,True,5,2024-11-20
L0001568,P000565,A00123,2022-12-03,Open,17930715,True,47,2023-01-19
L0001569,P004480,A00047,2024-07-16,Open,8504228,True,47,2024-09-01
L0001570,P004215,A00160,2023-11-09,Exclusive,15528494,False,130,
L0001571,P004221,A00214,2023-10-14,Open,7380313,True,74,2023-12-27
L0001572,P000354,A00273,2024-07-24,Partner,12665053,True,8,2024-08-01
L0001573,P004255,A00155,2024-06-29,Open,8769122,False,16,
L0001574,P000015,A00257,2023-10-16,Partner,10669664,True,44,2023-11-29
L0001575,P000809,A00270,2023-05-13,Exclusive,42652670,True,41,2023-06-23
L0001576,P003662,A00195,2024-02-10,Exclusive,11281134,True,14,2024-02-24
L0001577,P003412,A00146,2022-04-09,Exclusive,16250674,False,38,
L0001578,P004356,A00171,2023-02-07,Open,15289221,False,112,
L0001579,P002922,A00137,2024-05-10,Exclusive,38765254,True,31,2024-06-10
L0001580,P001447,A00231,2022-08-02,Open,11299011,True,40,2022-09-11
L0001581,P004018,A00300,2022-12-18,Exclusive,25448524,True,73,2023-03-01
L0001582,P000817,A00197,2023-10-19,Open,11554693,False,109,
L0001583,P001328,A00015,2022-10-03,Open,32819052,False,223,
L0001584,P004343,A00224,2024-02-29,Open,12204337,False,7,
L0001585,P002602,A00087,2024-03-22,Open,5589097,False,7,
L0001586,P002351,A00265,2024-10-16,Open,12830394,True,65,2024-12-20
L0001587,P000374,A00174,2022-06-01,Exclusive,18686623,True,68,2022-08-08
L0001588,P002116,A00036,2024-05-25,Partner,8100288,False,29,
L0001589,P000184,A00005,2023-09-06,Partner,7801844,False,42,
L0001590,P002451,A00161,2022-08-26,Open,7136145,False,128,
L0001591,P000241,A00131,2024-12-07,Exclusive,8242579,False,160,
L0001592,P003700,A00084,2023-03-19,Open,35656662,False,99,
L0001593,P002706,A00104,2024-09-10,Exclusive,5905210,True,25,2024-10-05
L0001594,P000994,A00120,2023-07-09,Partner,21243505,False,134,
L0001595,P000632,A00186,2022-02-10,Open,22148990,True,7,2022-02-17
L0001596,P002852,A00245,2024-07-08,Open,13127557,False,105,
L0001597,P000181,A00133,2024-07-16,Partner,15497976,False,62,
L0001598,P002811,A00129,2022-11-26,Exclusive,25242363,False,136,
L0001599,P002447,A00284,2024-01-30,Open,7240857,False,104,
L0001600,P002793,A00220,2022-06-17,Open,26315958,False,129,
L0001601,P003727,A00154,2022-07-20,Exclusive,27869251,False,7,
L0001602,P003029,A00299,2024-11-29,Exclusive,21003792,True,71,2025-02-08
L0001603,P001091,A00198,2024-04-26,Exclusive,18550672,False,135,
L0001604,P000493,A00126,2023-03-01,Open,25182114,False,7,
L0001605,P003559,A00002,2022-04-09,Exclusive,7283445,True,24,2022-05-03
L0001606,P000988,A00273,2022-06-28,Exclusive,6162641,False,91,
L0001607,P004135,A00222,2024-01-04,Open,7252804,True,62,2024-03-06
L0001608,P001761,A00246,2024-11-13,Open,10717263,True,33,2024-12-16
L0001609,P003352,A00202,2023-12-20,Open,14020007,True,17,2024-01-06
L0001610,P004280,A00298,2022-09-25,Open,10869319,True,82,
L0001611,P001499,A00221,2023-02-17,Exclusive,14107973,False,171,
L0001612,P003128,A00295,2023-01-08,Open,8933243,False,100,
L0001613,P001580,A00080,2024-08-28,Exclusive,18124488,False,47,
L0001614,P002918,A00083,2022-10-31,Partner,10649026,False,176,
L0001615,P003556,A00155,2024-01-15,Exclusive,8280665,True,55,2024-03-10
L0001616,P000488,A00005,2024-02-01,Open,17560964,True,77,2024-04-18
L0001617,P000517,A00030,2022-03-07,Open,8944401,False,67,
L0001618,P002151,A00137,2022-11-21,Open,8678926,False,149,
L0001619,P001466,A00204,2024-11-02,Exclusive,11360227,True,57,2024-12-29
L0001620,P000521,A00044,2022-10-18,Exclusive,17743687,True,76,2023-01-02
L0001621,P002533,A00131,2024-06-06,Exclusive,6932015,True,76,2024-08-21
L0001622,P002308,A00190,2022-10-08,Exclusive,3314999,False,92,
L0001623,P000423,A00144,2024-01-28,Open,10757939,False,45,
L0001624,P001714,A00154,2024-06-10,Open,13970640,False,63,
L0001625,P002927,A00036,2023-03-06,Open,7201926,False,122,
L0001626,P000816,A00080,2023-11-12,Exclusive,38228780,True,34,2023-12-16
L0001627,P000090,A00059,2022-05-12,Open,30281067,False,66,
L0001628,P000445,A00284,2024-04-27,Exclusive,11371944,True,33,2024-05-30
L0001629,P003969,A00044,2024-01-07,Open,9483384,False,168,
L0001630,P002773,A00084,2023-01-26,Open,14921885,True,40,2023-03-07
L0001631,P003509,A00067,2023-05-27,Open,13791659,True,112,2023-09-16
L0001632,P001710,A00117,2022-03-15,Exclusive,9052599,False,17,
L0001633,P002737,A00026,2024-06-10,Open,10586437,True,56,2024-08-05
L0001634,P002846,A00111,2023-06-03,Partner,8201976,False,159,
L0001635,P004343,A00283,2022-05-09,Exclusive,12087845,False,111,
L0001636,P000898,A00107,2024-09-03,Open,14692028,True,31,2024-10-04
L0001637,P002265,A00022,2024-01-03,Partner,8162333,True,43,2024-02-15
L0001638,P003204,A00012,2023-08-11,Open,12871826,False,70,
L0001639,P000904,A00269,2022-01-22,Exclusive,12511098,False,121,
L0001640,P004123,A00138,2023-02-19,Exclusive,8433793,True,78,2023-05-08
L0001641,P000841,A00098,2023-03-22,Open,44037936,True,29,2023-04-20
L0001642,P001055,A00251,2023-08-07,Exclusive,16029449,False,73,
L0001643,P003781,A00292,2023-06-15,Exclusive,13609759,True,106,2023-09-29
L0001644,P000943,A00133,2023-04-05,Exclusive,9388082,True,81,2023-06-25
L0001645,P003610,A00118,2023-01-01,Partner,16411065,True,77,2023-03-19
L0001646,P001037,A00260,2024-10-11,Exclusive,10372191,False,129,
L0001647,P002441,A00290,2023-10-07,Exclusive,18691037,False,118,
L0001648,P003247,A00268,2024-10-30,Open,30278978,True,60,
L0001649,P000225,A00040,2024-01-23,Open,21027738,True,85,2024-04-17
L0001650,P002389,A00188,2022-11-15,Partner,7873165,True,31,2022-12-16
L0001651,P002397,A00156,2022-07-14,Open,12015291,True,16,2022-07-30
L0001652,P004248,A00132,2024-03-10,Open,11756570,False,101,
L0001653,P001532,A00290,2023-06-26,Exclusive,18431581,True,67,2023-09-01
L0001654,P000122,A00178,2022-06-17,Open,10130410,False,58,
L0001655,P002135,A00277,2024-06-03,Partner,24256872,False,85,
L0001656,P001753,A00140,2024-03-21,Open,8626271,True,30,2024-04-20
L0001657,P001505,A00242,2022-11-05,Exclusive,23534277,False,133,
L0001658,P001014,A00159,2022-01-18,Partner,13234115,False,88,
L0001659,P003185,A00012,2023-07-29,Exclusive,26810571,True,58,2023-09-25
L0001660,P000198,A00208,2022-08-19,Exclusive,9960198,True,82,2022-11-09
L0001661,P000919,A00292,2024-03-02,Exclusive,12763511,True,35,2024-04-06
L0001662,P003964,A00144,2023-10-31,Open,16239467,True,75,2024-01-14
L0001663,P000607,A00153,2024-02-15,Open,8921674,False,130,
L0001664,P003639,A00256,2023-01-02,Partner,17087026,True,42,2023-02-13
L0001665,P000137,A00296,2023-03-07,Open,20991162,True,80,2023-05-26
L0001666,P001513,A00293,2022-06-19,Partner,10837226,False,73,
L0001667,P000903,A00282,2023-02-08,Exclusive,21115488,False,269,
L0001668,P002085,A00201,2022-07-29,Exclusive,13163209,False,115,
L0001669,P001519,A00035,2024-03-31,Exclusive,19931426,False,61,
L0001670,P002940,A00263,2024-04-28,Open,10923136,False,135,
L0001671,P000289,A00040,2023-10-11,Exclusive,26631795,False,137,
L0001672,P001179,A00054,2024-10-19,Exclusive,15169029,True,27,2024-11-15
